"comune_key","Prophet_MAPE_pct","GAMM_MAPE_pct","Mixed_MAPE_pct","Best_Model","Best_MAPE_pct","Rank"
"valtournenche","14.1129373508102","9.44906954367457","2.41010750709604","Mixed","2.41010750709604","1"
"saint vincent","11.3520797255858","9.85978997640729","3.52103336155104","Mixed","3.52103336155104","2"
"brissogne","5.43481358323472","6.44958091339255","3.73920100991421","Mixed","3.73920100991421","3"
"saint christophe","6.78682951425175","4.37473454379933","10.2308511221317","GAMM","4.37473454379933","4"
"aosta","5.29829900116212","9.37193249863201","4.87262510368684","Mixed","4.87262510368684","5"
"arnad","8.37957617571763","25.7417656784151","4.94841272136586","Mixed","4.94841272136586","6"
"gressan","11.0188986442473","5.01115097623702","9.70105386668674","GAMM","5.01115097623702","7"
"saint pierre","6.24489668646369","5.12160065911628","6.06972783269657","GAMM","5.12160065911628","8"
"pre saint didier","5.46965784168496","5.87725230447521","9.51333134139477","Prophet","5.46965784168496","9"
"verrayes","11.6676478147808","5.99400359080978","7.32013067776407","GAMM","5.99400359080978","10"
"pollein","6.61294223731012","6.20652094240684","8.95300326087866","GAMM","6.20652094240684","11"
"ayas","6.21374786190572","7.37946423491999","7.88174401608839","Prophet","6.21374786190572","12"
"champorcher","6.95359418610106","8.0537294089264","9.71894152334916","Prophet","6.95359418610106","13"
"pontboset","13.9791128686358","7.14049521891987","8.80500791917488","GAMM","7.14049521891987","14"
"saint nicolas","7.31097829100312","8.21688535201767","8.89605481394226","Prophet","7.31097829100312","15"
"introd","7.58279051988832","11.2152432320084","7.34481399178904","Mixed","7.34481399178904","16"
"challand saint anselme","7.34941503952495","10.3711446075191","9.43012124104298","Prophet","7.34941503952495","17"
"aymavilles","8.75998717791779","12.514695480479","7.43368716420393","Mixed","7.43368716420393","18"
"chambave","13.6763052287699","10.9967414606786","7.5282649824898","Mixed","7.5282649824898","19"
"chamois","7.68214992979696","9.79394174931515","11.4380060570795","Prophet","7.68214992979696","20"
"oyace","7.92582617038215","10.2622301153894","7.94843597136618","Prophet","7.92582617038215","21"
"brusson","7.9863807592379","10.6927448671321","9.56588691542271","Prophet","7.9863807592379","22"
"arvier","16.8488191842276","8.18314225857525","8.00124225308501","Mixed","8.00124225308501","23"
"villeneuve","10.0267610500601","8.95535611906203","8.10750725478524","Mixed","8.10750725478524","24"
"etroubles","8.72139325978145","11.3754739839676","8.11240149852185","Mixed","8.11240149852185","25"
"perloz","14.2410743419632","8.18802795324942","9.08986584300268","GAMM","8.18802795324942","26"
"quart","11.3881920239915","9.1927296984572","8.26619096195677","Mixed","8.26619096195677","27"
"donnas","8.46254139283516","8.50109744911171","8.28704880779456","Mixed","8.28704880779456","28"
"la salle","8.64762561908558","8.3316371109143","11.5920298815506","GAMM","8.3316371109143","29"
"jovencan","10.0618381114252","8.39987212749335","8.34094774977569","Mixed","8.34094774977569","30"
"fontainemore","8.3852147239107","12.1299373400125","9.10605298223911","Prophet","8.3852147239107","31"
"issogne","9.25388635834534","8.54781426548606","8.46738501381508","Mixed","8.46738501381508","32"
"antey saint andre","8.6387991827387","10.694763731326","10.4139636888206","Prophet","8.6387991827387","33"
"fenis","15.7714739780864","8.68533321589363","11.6219554405052","GAMM","8.68533321589363","34"
"charvensod","9.46577077461373","12.1951792915997","8.72850601680889","Mixed","8.72850601680889","35"
"montjovet","17.9607087688481","9.40961070336092","9.20058340452793","Mixed","9.20058340452793","36"
"cogne","11.1820936379023","9.33888153018756","10.0711089181355","GAMM","9.33888153018756","37"
"gignod","17.8292536037473","9.40174319300177","14.1509716739798","GAMM","9.40174319300177","38"
"saint marcel","11.9397197617573","9.5410618150433","11.6660674355762","GAMM","9.5410618150433","39"
"sarre","10.131035685677","12.9720310740759","9.58132998470249","Mixed","9.58132998470249","40"
"courmayeur","12.0345357565984","9.72987670095408","11.3733681990859","GAMM","9.72987670095408","41"
"gressoney la trinite","13.9756403726333","14.9244505169997","9.94511345584782","Mixed","9.94511345584782","42"
"saint oyen","13.8095114078133","10.1276538691761","9.94806669424398","Mixed","9.94806669424398","43"
"chatillon","15.4509383486662","10.2260606912224","10.4827919857556","GAMM","10.2260606912224","44"
"ollomont","11.1290168122674","14.6325975841231","10.2644147535336","Mixed","10.2644147535336","45"
"saint rhemy en bosses","12.7222367807529","10.3220234998214","13.6232944782917","GAMM","10.3220234998214","46"
"challand saint victor","16.0738629010843","12.6731586896539","10.3623537542642","Mixed","10.3623537542642","47"
"pontey","10.4053664920066","16.9830557978467","17.7247476289247","Prophet","10.4053664920066","48"
"nus","10.9960573237065","11.2481826381042","10.6148127776853","Mixed","10.6148127776853","49"
"champdepraz","15.9233657762442","10.8461061811734","10.7658965934643","Mixed","10.7658965934643","50"
"hone","11.6653365701998","12.9071300138852","11.0704253642606","Mixed","11.0704253642606","51"
"torgnon","12.6350418062052","20.8188791441053","11.0833372983722","Mixed","11.0833372983722","52"
"rhemes saint georges","11.1178884424079","16.9011193934381","15.1492061317271","Prophet","11.1178884424079","53"
"roisan","14.4340845894607","16.2062649816394","11.3098402620771","Mixed","11.3098402620771","54"
